training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.2266,0,0,0
0,1,0.4691,0,0,0
0,2,0.5946,0,0,0
0,3,0.6620,0,0,0
0,4,0.7193,0,0,0
0,5,0.7591,0,0,0
0,6,0.7831,0,0,0
0,7,0.8010,0,0,0
0,8,0.8128,0,0,0
0,9,0.8230,0,0,0
1,0,0.2616,0,0,0
1,1,0.5601,0,0,0
1,2,0.7004,0,0,0
1,3,0.7558,0,0,0
1,4,0.7846,0,0,0
1,5,0.8030,0,0,0
1,6,0.8163,0,0,0
1,7,0.8271,0,0,0
1,8,0.8355,0,0,0
1,9,0.8428,0,0,0
2,0,0.3244,0,0,0
2,1,0.6233,0,0,0
2,2,0.7322,0,0,0
2,3,0.7716,0,0,0
2,4,0.7950,0,0,0
2,5,0.8104,0,0,0
2,6,0.8230,0,0,0
2,7,0.8324,0,0,0
2,8,0.8404,0,0,0
2,9,0.8466,0,0,0
3,0,0.3651,0,0,0
3,1,0.6748,0,0,0
3,2,0.7489,0,0,0
3,3,0.7845,0,0,0
3,4,0.8048,0,0,0
3,5,0.8193,0,0,0
3,6,0.8297,0,0,0
3,7,0.8378,0,0,0
3,8,0.8449,0,0,0
3,9,0.8505,0,0,0
4,0,0.3596,0,0,0
4,1,0.6603,0,0,0
4,2,0.7371,0,0,0
4,3,0.7749,0,0,0
4,4,0.7995,0,0,0
4,5,0.8154,0,0,0
4,6,0.8276,0,0,0
4,7,0.8364,0,0,0
4,8,0.8435,0,0,0
4,9,0.8495,0,0,0
5,0,0.3522,0,0,0
5,1,0.6287,0,0,0
5,2,0.7206,0,0,0
5,3,0.7654,0,0,0
5,4,0.7932,0,0,0
5,5,0.8109,0,0,0
5,6,0.8238,0,0,0
5,7,0.8346,0,0,0
5,8,0.8427,0,0,0
5,9,0.8486,0,0,0
6,0,0.3881,0,0,0
6,1,0.6607,0,0,0
6,2,0.7383,0,0,0
6,3,0.7775,0,0,0
6,4,0.8013,0,0,0
6,5,0.8173,0,0,0
6,6,0.8300,0,0,0
6,7,0.8387,0,0,0
6,8,0.8454,0,0,0
6,9,0.8507,0,0,0
7,0,0.3425,0,0,0
7,1,0.6353,0,0,0
7,2,0.7313,0,0,0
7,3,0.7714,0,0,0
7,4,0.7945,0,0,0
7,5,0.8096,0,0,0
7,6,0.8208,0,0,0
7,7,0.8298,0,0,0
7,8,0.8371,0,0,0
7,9,0.8431,0,0,0
8,0,0.3745,0,0,0
8,1,0.6622,0,0,0
8,2,0.7409,0,0,0
8,3,0.7776,0,0,0
8,4,0.8008,0,0,0
8,5,0.8168,0,0,0
8,6,0.8280,0,0,0
8,7,0.8370,0,0,0
8,8,0.8439,0,0,0
8,9,0.8489,0,0,0
9,0,0.3569,0,0,0
9,1,0.6429,0,0,0
9,2,0.7306,0,0,0
9,3,0.7711,0,0,0
9,4,0.7951,0,0,0
9,5,0.8109,0,0,0
9,6,0.8222,0,0,0
9,7,0.8314,0,0,0
9,8,0.8385,0,0,0
9,9,0.8447,0,0,0
