training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5503,0,0,0
0,1,0.7685,0,0,0
0,2,0.8101,0,0,0
0,3,0.8298,0,0,0
0,4,0.8420,0,0,0
0,5,0.8497,0,0,0
0,6,0.8559,0,0,0
0,7,0.8602,0,0,0
0,8,0.8639,0,0,0
0,9,0.8672,0,0,0
1,0,0.4962,0,0,0
1,1,0.7408,0,0,0
1,2,0.7973,0,0,0
1,3,0.8215,0,0,0
1,4,0.8351,0,0,0
1,5,0.8442,0,0,0
1,6,0.8517,0,0,0
1,7,0.8571,0,0,0
1,8,0.8610,0,0,0
1,9,0.8648,0,0,0
2,0,0.4244,0,0,0
2,1,0.6995,0,0,0
2,2,0.7743,0,0,0
2,3,0.8078,0,0,0
2,4,0.8248,0,0,0
2,5,0.8353,0,0,0
2,6,0.8432,0,0,0
2,7,0.8490,0,0,0
2,8,0.8542,0,0,0
2,9,0.8587,0,0,0
3,0,0.4397,0,0,0
3,1,0.7023,0,0,0
3,2,0.7759,0,0,0
3,3,0.8063,0,0,0
3,4,0.8227,0,0,0
3,5,0.8344,0,0,0
3,6,0.8430,0,0,0
3,7,0.8494,0,0,0
3,8,0.8542,0,0,0
3,9,0.8579,0,0,0
4,0,0.3970,0,0,0
4,1,0.6714,0,0,0
4,2,0.7552,0,0,0
4,3,0.7927,0,0,0
4,4,0.8134,0,0,0
4,5,0.8285,0,0,0
4,6,0.8384,0,0,0
4,7,0.8457,0,0,0
4,8,0.8517,0,0,0
4,9,0.8558,0,0,0
5,0,0.4026,0,0,0
5,1,0.6688,0,0,0
5,2,0.7587,0,0,0
5,3,0.7950,0,0,0
5,4,0.8162,0,0,0
5,5,0.8290,0,0,0
5,6,0.8385,0,0,0
5,7,0.8455,0,0,0
5,8,0.8516,0,0,0
5,9,0.8558,0,0,0
6,0,0.3702,0,0,0
6,1,0.6610,0,0,0
6,2,0.7503,0,0,0
6,3,0.7881,0,0,0
6,4,0.8097,0,0,0
6,5,0.8220,0,0,0
6,6,0.8319,0,0,0
6,7,0.8385,0,0,0
6,8,0.8436,0,0,0
6,9,0.8485,0,0,0
7,0,0.4396,0,0,0
7,1,0.6830,0,0,0
7,2,0.7579,0,0,0
7,3,0.7921,0,0,0
7,4,0.8116,0,0,0
7,5,0.8239,0,0,0
7,6,0.8340,0,0,0
7,7,0.8411,0,0,0
7,8,0.8464,0,0,0
7,9,0.8514,0,0,0
8,0,0.3623,0,0,0
8,1,0.6438,0,0,0
8,2,0.7401,0,0,0
8,3,0.7795,0,0,0
8,4,0.8028,0,0,0
8,5,0.8174,0,0,0
8,6,0.8286,0,0,0
8,7,0.8364,0,0,0
8,8,0.8430,0,0,0
8,9,0.8476,0,0,0
9,0,0.3376,0,0,0
9,1,0.6431,0,0,0
9,2,0.7442,0,0,0
9,3,0.7852,0,0,0
9,4,0.8073,0,0,0
9,5,0.8214,0,0,0
9,6,0.8315,0,0,0
9,7,0.8396,0,0,0
9,8,0.8456,0,0,0
9,9,0.8507,0,0,0
