training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4072,0,0,0
0,1,0.7110,0,0,0
0,2,0.7743,0,0,0
0,3,0.8079,0,0,0
0,4,0.8297,0,0,0
0,5,0.8426,0,0,0
0,6,0.8520,0,0,0
0,7,0.8595,0,0,0
0,8,0.8653,0,0,0
0,9,0.8701,0,0,0
1,0,0.4788,0,0,0
1,1,0.7482,0,0,0
1,2,0.8018,0,0,0
1,3,0.8273,0,0,0
1,4,0.8432,0,0,0
1,5,0.8538,0,0,0
1,6,0.8609,0,0,0
1,7,0.8666,0,0,0
1,8,0.8713,0,0,0
1,9,0.8758,0,0,0
2,0,0.4747,0,0,0
2,1,0.7471,0,0,0
2,2,0.8056,0,0,0
2,3,0.8319,0,0,0
2,4,0.8466,0,0,0
2,5,0.8572,0,0,0
2,6,0.8645,0,0,0
2,7,0.8701,0,0,0
2,8,0.8745,0,0,0
2,9,0.8784,0,0,0
3,0,0.4791,0,0,0
3,1,0.7323,0,0,0
3,2,0.8006,0,0,0
3,3,0.8282,0,0,0
3,4,0.8438,0,0,0
3,5,0.8536,0,0,0
3,6,0.8610,0,0,0
3,7,0.8668,0,0,0
3,8,0.8717,0,0,0
3,9,0.8760,0,0,0
4,0,0.5011,0,0,0
4,1,0.7380,0,0,0
4,2,0.8037,0,0,0
4,3,0.8312,0,0,0
4,4,0.8468,0,0,0
4,5,0.8582,0,0,0
4,6,0.8658,0,0,0
4,7,0.8716,0,0,0
4,8,0.8768,0,0,0
4,9,0.8805,0,0,0
5,0,0.4590,0,0,0
5,1,0.7187,0,0,0
5,2,0.7871,0,0,0
5,3,0.8196,0,0,0
5,4,0.8371,0,0,0
5,5,0.8484,0,0,0
5,6,0.8576,0,0,0
5,7,0.8647,0,0,0
5,8,0.8700,0,0,0
5,9,0.8744,0,0,0
6,0,0.4134,0,0,0
6,1,0.7209,0,0,0
6,2,0.7950,0,0,0
6,3,0.8251,0,0,0
6,4,0.8427,0,0,0
6,5,0.8546,0,0,0
6,6,0.8632,0,0,0
6,7,0.8701,0,0,0
6,8,0.8758,0,0,0
6,9,0.8804,0,0,0
7,0,0.4229,0,0,0
7,1,0.7079,0,0,0
7,2,0.7881,0,0,0
7,3,0.8218,0,0,0
7,4,0.8405,0,0,0
7,5,0.8529,0,0,0
7,6,0.8610,0,0,0
7,7,0.8680,0,0,0
7,8,0.8732,0,0,0
7,9,0.8773,0,0,0
8,0,0.4583,0,0,0
8,1,0.7298,0,0,0
8,2,0.7992,0,0,0
8,3,0.8272,0,0,0
8,4,0.8440,0,0,0
8,5,0.8554,0,0,0
8,6,0.8630,0,0,0
8,7,0.8693,0,0,0
8,8,0.8739,0,0,0
8,9,0.8784,0,0,0
9,0,0.4761,0,0,0
9,1,0.7206,0,0,0
9,2,0.7938,0,0,0
9,3,0.8256,0,0,0
9,4,0.8433,0,0,0
9,5,0.8556,0,0,0
9,6,0.8638,0,0,0
9,7,0.8700,0,0,0
9,8,0.8753,0,0,0
9,9,0.8793,0,0,0
