training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9367,0,0,0
0,1,0.9775,0,0,0
0,2,0.9841,0,0,0
0,3,0.9877,0,0,0
0,4,0.9888,0,0,0
0,5,0.9904,0,0,0
0,6,0.9919,0,0,0
0,7,0.9918,0,0,0
0,8,0.9927,0,0,0
0,9,0.9935,0,0,0
1,0,0.9502,0,0,0
1,1,0.9810,0,0,0
1,2,0.9860,0,0,0
1,3,0.9882,0,0,0
1,4,0.9892,0,0,0
1,5,0.9902,0,0,0
1,6,0.9910,0,0,0
1,7,0.9913,0,0,0
1,8,0.9917,0,0,0
1,9,0.9919,0,0,0
2,0,0.9461,0,0,0
2,1,0.9821,0,0,0
2,2,0.9862,0,0,0
2,3,0.9885,0,0,0
2,4,0.9891,0,0,0
2,5,0.9906,0,0,0
2,6,0.9910,0,0,0
2,7,0.9915,0,0,0
2,8,0.9922,0,0,0
2,9,0.9924,0,0,0
3,0,0.9513,0,0,0
3,1,0.9802,0,0,0
3,2,0.9842,0,0,0
3,3,0.9867,0,0,0
3,4,0.9882,0,0,0
3,5,0.9884,0,0,0
3,6,0.9895,0,0,0
3,7,0.9900,0,0,0
3,8,0.9904,0,0,0
3,9,0.9909,0,0,0
4,0,0.9490,0,0,0
4,1,0.9793,0,0,0
4,2,0.9845,0,0,0
4,3,0.9851,0,0,0
4,4,0.9864,0,0,0
4,5,0.9872,0,0,0
4,6,0.9886,0,0,0
4,7,0.9882,0,0,0
4,8,0.9887,0,0,0
4,9,0.9895,0,0,0
