training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9864,0,0,0
0,1,0.9962,0,0,0
0,2,0.9967,0,0,0
0,3,0.9996,0,0,0
0,4,0.9982,0,0,0
0,5,0.9994,0,0,0
0,6,0.9980,0,0,0
0,7,0.9995,0,0,0
0,8,1.0000,0,0,0
0,9,1.0000,0,0,0
1,0,0.9905,0,0,0
1,1,0.9962,0,0,0
1,2,0.9972,0,0,0
1,3,0.9973,0,0,0
1,4,0.9974,0,0,0
1,5,0.9978,0,0,0
1,6,0.9983,0,0,0
1,7,0.9981,0,0,0
1,8,0.9979,0,0,0
1,9,0.9980,0,0,0
2,0,0.9843,0,0,0
2,1,0.9922,0,0,0
2,2,0.9928,0,0,0
2,3,0.9939,0,0,0
2,4,0.9943,0,0,0
2,5,0.9945,0,0,0
2,6,0.9940,0,0,0
2,7,0.9950,0,0,0
2,8,0.9946,0,0,0
2,9,0.9948,0,0,0
3,0,0.9785,0,0,0
3,1,0.9901,0,0,0
3,2,0.9908,0,0,0
3,3,0.9920,0,0,0
3,4,0.9914,0,0,0
3,5,0.9921,0,0,0
3,6,0.9921,0,0,0
3,7,0.9929,0,0,0
3,8,0.9923,0,0,0
3,9,0.9926,0,0,0
4,0,0.9808,0,0,0
4,1,0.9907,0,0,0
4,2,0.9904,0,0,0
4,3,0.9909,0,0,0
4,4,0.9911,0,0,0
4,5,0.9916,0,0,0
4,6,0.9910,0,0,0
4,7,0.9914,0,0,0
4,8,0.9917,0,0,0
4,9,0.9919,0,0,0
