training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3524,0,0,0
0,1,0.5940,0,0,0
0,2,0.6488,0,0,0
0,3,0.6732,0,0,0
0,4,0.7056,0,0,0
0,5,0.7440,0,0,0
0,6,0.7668,0,0,0
0,7,0.7936,0,0,0
0,8,0.8004,0,0,0
0,9,0.8136,0,0,0
1,0,0.6404,0,0,0
1,1,0.7190,0,0,0
1,2,0.7556,0,0,0
1,3,0.7694,0,0,0
1,4,0.7850,0,0,0
1,5,0.7996,0,0,0
1,6,0.8094,0,0,0
1,7,0.8108,0,0,0
1,8,0.8224,0,0,0
1,9,0.8260,0,0,0
2,0,0.6986,0,0,0
2,1,0.7848,0,0,0
2,2,0.8128,0,0,0
2,3,0.8266,0,0,0
2,4,0.8474,0,0,0
2,5,0.8580,0,0,0
2,6,0.8686,0,0,0
2,7,0.8742,0,0,0
2,8,0.8850,0,0,0
2,9,0.8896,0,0,0
3,0,0.7662,0,0,0
3,1,0.8680,0,0,0
3,2,0.8678,0,0,0
3,3,0.8812,0,0,0
3,4,0.8976,0,0,0
3,5,0.8994,0,0,0
3,6,0.9064,0,0,0
3,7,0.9130,0,0,0
3,8,0.9170,0,0,0
3,9,0.9144,0,0,0
4,0,0.7790,0,0,0
4,1,0.8504,0,0,0
4,2,0.8682,0,0,0
4,3,0.8772,0,0,0
4,4,0.8904,0,0,0
4,5,0.9002,0,0,0
4,6,0.8988,0,0,0
4,7,0.9044,0,0,0
4,8,0.9092,0,0,0
4,9,0.9112,0,0,0
5,0,0.7572,0,0,0
5,1,0.8412,0,0,0
5,2,0.8596,0,0,0
5,3,0.8798,0,0,0
5,4,0.8720,0,0,0
5,5,0.8850,0,0,0
5,6,0.8914,0,0,0
5,7,0.8972,0,0,0
5,8,0.9034,0,0,0
5,9,0.8994,0,0,0
6,0,0.7818,0,0,0
6,1,0.8634,0,0,0
6,2,0.8892,0,0,0
6,3,0.8960,0,0,0
6,4,0.9056,0,0,0
6,5,0.9048,0,0,0
6,6,0.9134,0,0,0
6,7,0.9222,0,0,0
6,8,0.9250,0,0,0
6,9,0.9248,0,0,0
7,0,0.7728,0,0,0
7,1,0.8722,0,0,0
7,2,0.8836,0,0,0
7,3,0.8956,0,0,0
7,4,0.9022,0,0,0
7,5,0.9068,0,0,0
7,6,0.9134,0,0,0
7,7,0.9204,0,0,0
7,8,0.9188,0,0,0
7,9,0.9272,0,0,0
8,0,0.7628,0,0,0
8,1,0.8310,0,0,0
8,2,0.8496,0,0,0
8,3,0.8568,0,0,0
8,4,0.8664,0,0,0
8,5,0.8774,0,0,0
8,6,0.8774,0,0,0
8,7,0.8852,0,0,0
8,8,0.8874,0,0,0
8,9,0.8884,0,0,0
9,0,0.8134,0,0,0
9,1,0.9070,0,0,0
9,2,0.9224,0,0,0
9,3,0.9248,0,0,0
9,4,0.9298,0,0,0
9,5,0.9354,0,0,0
9,6,0.9412,0,0,0
9,7,0.9400,0,0,0
9,8,0.9462,0,0,0
9,9,0.9498,0,0,0
10,0,0.8244,0,0,0
10,1,0.8950,0,0,0
10,2,0.9086,0,0,0
10,3,0.9144,0,0,0
10,4,0.9252,0,0,0
10,5,0.9222,0,0,0
10,6,0.9310,0,0,0
10,7,0.9328,0,0,0
10,8,0.9312,0,0,0
10,9,0.9382,0,0,0
11,0,0.8246,0,0,0
11,1,0.9002,0,0,0
11,2,0.9144,0,0,0
11,3,0.9142,0,0,0
11,4,0.9208,0,0,0
11,5,0.9262,0,0,0
11,6,0.9278,0,0,0
11,7,0.9350,0,0,0
11,8,0.9434,0,0,0
11,9,0.9418,0,0,0
12,0,0.8158,0,0,0
12,1,0.8852,0,0,0
12,2,0.8976,0,0,0
12,3,0.9004,0,0,0
12,4,0.9062,0,0,0
12,5,0.9106,0,0,0
12,6,0.9216,0,0,0
12,7,0.9210,0,0,0
12,8,0.9274,0,0,0
12,9,0.9246,0,0,0
13,0,0.8624,0,0,0
13,1,0.9310,0,0,0
13,2,0.9444,0,0,0
13,3,0.9472,0,0,0
13,4,0.9466,0,0,0
