training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.2640,0,0,0
0,1,0.5692,0,0,0
0,2,0.6208,0,0,0
0,3,0.6904,0,0,0
0,4,0.7192,0,0,0
0,5,0.7576,0,0,0
0,6,0.7712,0,0,0
0,7,0.7888,0,0,0
0,8,0.7996,0,0,0
0,9,0.8120,0,0,0
1,0,0.6500,0,0,0
1,1,0.7262,0,0,0
1,2,0.7450,0,0,0
1,3,0.7650,0,0,0
1,4,0.7794,0,0,0
1,5,0.7940,0,0,0
1,6,0.8070,0,0,0
1,7,0.8130,0,0,0
1,8,0.8170,0,0,0
1,9,0.8172,0,0,0
2,0,0.6990,0,0,0
2,1,0.7852,0,0,0
2,2,0.8178,0,0,0
2,3,0.8310,0,0,0
2,4,0.8516,0,0,0
2,5,0.8632,0,0,0
2,6,0.8718,0,0,0
2,7,0.8820,0,0,0
2,8,0.8834,0,0,0
2,9,0.8878,0,0,0
3,0,0.7784,0,0,0
3,1,0.8620,0,0,0
3,2,0.8742,0,0,0
3,3,0.8886,0,0,0
3,4,0.8952,0,0,0
3,5,0.8996,0,0,0
3,6,0.9106,0,0,0
3,7,0.9136,0,0,0
3,8,0.9146,0,0,0
3,9,0.9188,0,0,0
4,0,0.7684,0,0,0
4,1,0.8412,0,0,0
4,2,0.8670,0,0,0
4,3,0.8762,0,0,0
4,4,0.8894,0,0,0
4,5,0.8954,0,0,0
4,6,0.8984,0,0,0
4,7,0.9070,0,0,0
4,8,0.9094,0,0,0
4,9,0.9160,0,0,0
5,0,0.7482,0,0,0
5,1,0.8478,0,0,0
5,2,0.8610,0,0,0
5,3,0.8706,0,0,0
5,4,0.8774,0,0,0
5,5,0.8856,0,0,0
5,6,0.8898,0,0,0
5,7,0.8960,0,0,0
5,8,0.9086,0,0,0
5,9,0.9026,0,0,0
6,0,0.7700,0,0,0
6,1,0.8694,0,0,0
6,2,0.8824,0,0,0
6,3,0.8982,0,0,0
6,4,0.9020,0,0,0
6,5,0.9080,0,0,0
6,6,0.9154,0,0,0
6,7,0.9178,0,0,0
6,8,0.9260,0,0,0
6,9,0.9222,0,0,0
7,0,0.7866,0,0,0
7,1,0.8746,0,0,0
7,2,0.8878,0,0,0
7,3,0.8950,0,0,0
7,4,0.9026,0,0,0
7,5,0.9082,0,0,0
7,6,0.9134,0,0,0
7,7,0.9134,0,0,0
7,8,0.9198,0,0,0
7,9,0.9234,0,0,0
8,0,0.7618,0,0,0
8,1,0.8374,0,0,0
8,2,0.8476,0,0,0
8,3,0.8596,0,0,0
8,4,0.8658,0,0,0
8,5,0.8766,0,0,0
8,6,0.8788,0,0,0
8,7,0.8850,0,0,0
8,8,0.8860,0,0,0
8,9,0.8874,0,0,0
9,0,0.8002,0,0,0
9,1,0.9102,0,0,0
9,2,0.9290,0,0,0
9,3,0.9256,0,0,0
9,4,0.9306,0,0,0
9,5,0.9402,0,0,0
9,6,0.9412,0,0,0
9,7,0.9458,0,0,0
9,8,0.9468,0,0,0
9,9,0.9488,0,0,0
10,0,0.8222,0,0,0
10,1,0.9030,0,0,0
10,2,0.9052,0,0,0
10,3,0.9112,0,0,0
10,4,0.9228,0,0,0
10,5,0.9246,0,0,0
10,6,0.9296,0,0,0
10,7,0.9284,0,0,0
10,8,0.9318,0,0,0
