training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0,0,0.6663,0
0,1,0,0,0.2364,0
0,2,0,0,0.1611,0
0,3,0,0,0.1055,0
0,4,0,0,0.0769,0
0,5,0,0,0.0623,0
0,6,0,0,0.0519,0
0,7,0,0,0.0432,0
0,8,0,0,0.0378,0
0,9,0,0,0.0327,0
1,0,0,0,1.9320,0
1,1,0,0,0.2292,0
1,2,0,0,0.1454,0
1,3,0,0,0.1095,0
1,4,0,0,0.0904,0
1,5,0,0,0.0793,0
1,6,0,0,0.0702,0
1,7,0,0,0.0643,0
1,8,0,0,0.0607,0
1,9,0,0,0.0583,0
2,0,0,0,2.3740,0
2,1,0,0,0.1669,0
2,2,0,0,0.1053,0
2,3,0,0,0.0834,0
2,4,0,0,0.0696,0
2,5,0,0,0.0597,0
2,6,0,0,0.0558,0
2,7,0,0,0.0505,0
2,8,0,0,0.0464,0
2,9,0,0,0.0396,0
3,0,0,0,4.7230,0
3,1,0,0,0.2166,0
3,2,0,0,0.1582,0
3,3,0,0,0.1290,0
3,4,0,0,0.1092,0
3,5,0,0,0.0968,0
3,6,0,0,0.0907,0
3,7,0,0,0.0770,0
3,8,0,0,0.0712,0
3,9,0,0,0.0700,0
4,0,0,0,4.5454,0
4,1,0,0,0.3338,0
4,2,0,0,0.2185,0
4,3,0,0,0.1806,0
4,4,0,0,0.1555,0
4,5,0,0,0.1402,0
4,6,0,0,0.1206,0
4,7,0,0,0.1099,0
4,8,0,0,0.1021,0
4,9,0,0,0.0937,0
